@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-5,16-17,19,25-26,30-36,41,44-45,49-67,70,77-83,92,95-100,102,106,109,113'

@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
23,9,4,3,35,8,16,8809201,8809748,530822,18,4,11,23.2336,0,3,6,2,3,1,5,3.62973,96.0269,0.343353,210,23,10.5,2,4,4,2,0,2,11,4,7,5,10,4,7,6,23,12,9,9,0,2,0,5,1,1,5,21,3,1,1,buggy
206,15,9,5,169,41,54,10,86,7069,53,0,0,13.438,0,5,9,3,4,10,11,1.80457,93.7759,4.41956,2941,1,613.6,9,28,6,9,8,15,51,27,69,63,62,43,17,88,98,43,28,29,0,0,0,37,1,3,8,198,4,1,0,clean
76,205,3,2,77,9,18,0,0,0,166,0,0,22.7194,0,2,6,1,2,25,175,39.8606,60.1262,0.013207,2366,8,166,1,23,1,1,2,6,9,15,19,35,10,13,13,42,217,24,19,26,0,0,0,11,0,0,1,76,0,1,0,clean
237,18,10,5,189,41,54,3716,3725,5272,60,0,0,14.4365,0,3,6,1,2,5,12,0.436538,99.5397,0.023729,1020,1,235.615,11,10,6,11,9,18,58,32,80,73,71,50,21,101,108,49,32,33,0,0,0,43,1,4,10,228,5,1,0,clean
76,205,3,2,77,9,18,170,83,1766,166,0,0,25.6496,0,4,4,2,6,25,175,39.8606,60.1262,0.013207,2366,8,166,1,23,1,1,2,6,9,15,19,35,10,13,13,42,217,24,19,26,0,0,0,11,0,0,1,76,0,1,0,clean
76,205,3,2,77,9,18,17005,16566,0,166,0,0,25.9108,0,2,3,2,5,25,175,39.8606,60.1262,0.013207,2366,8,166,1,23,1,1,2,6,9,15,19,35,10,13,13,42,217,24,19,26,0,0,0,11,0,0,1,76,0,1,0,clean
237,18,10,5,189,41,54,5338,5339,50,60,0,0,16.0269,0,3,12,4,6,5,12,0.436538,99.5397,0.023729,3314,1,765.75,11,32,6,11,9,18,58,32,80,73,71,50,21,101,108,49,32,33,0,0,0,43,1,4,10,228,5,1,0,clean
17,2,0,1,29,8,18,267405,307211,690,11,9,23,22.5202,0,2,3,1,2,5,7,3.79904,96.0944,0.106515,278,22,3,1,7,0,2,0,1,8,2,3,4,11,2,2,3,11,8,10,3,0,0,0,3,0,0,0,17,0,1,0,clean
48,103,2,1,47,9,18,81,543,24299,86,0,0,27.4326,0.924393,5,18,6,12,13,93,60.5545,39.4377,0.007799,1315,4,333,1,14,1,1,1,3,8,9,13,20,10,8,7,25,114,13,10,15,0,0,0,6,0,0,1,48,0,1,0,clean
257,18,10,5,212,41,54,9,10,9,63,0,0,15.9251,0,4,8,8,16,4,12,0.019222,99.9571,0.023696,1448,1,306.8,4,14,8,11,11,21,63,36,87,79,78,56,22,110,121,52,34,38,0,0,0,50,1,5,11,247,6,2,0,buggy
39,564,27,27,58,9,20,3997812,3997813,0,628,5,12,16.1428,0,3,3,5,3,4,6,1.98084,97.9638,0.0554,3025,17,134.5,4,12,0,2,1,2,8,8,7,17,10,6,8,17,620,15,15,25,0,0,0,4,0,0,1,39,0,1,0,clean
76,205,3,2,77,9,18,528,3960,31578,166,0,0,13.5596,0,2,12,3,6,25,175,39.8606,60.1262,0.013207,2366,8,166,1,23,1,1,2,6,9,15,19,35,10,13,13,42,217,24,19,26,0,0,0,11,0,0,1,76,0,1,0,clean
76,205,3,2,77,9,18,1060,2704,7392,166,0,0,13.9742,0,2,7,6,9,25,175,39.8606,60.1262,0.013207,2366,8,166,1,23,1,1,2,6,9,15,19,35,10,13,13,42,217,24,19,26,0,0,0,11,0,0,1,76,0,1,0,clean
76,205,3,2,77,9,18,0,0,0,166,0,0,16.8338,4.42947,2,8,2,4,25,175,39.8606,60.1262,0.013207,2366,8,166,1,23,1,1,2,6,9,15,19,35,10,13,13,42,217,24,19,26,0,0,0,11,0,0,1,76,0,1,0,clean
37,2,4,0,42,16,36,9415,14639,0,9,19,41,71.5738,0,2,5,1,3,1,2,0.152592,99.8474,0,666,3,148,1,6,5,2,1,1,16,6,7,10,14,8,9,8,17,10,10,11,0,1,0,8,1,0,4,34,1,0,1,clean
22,3,4,1,31,16,36,305,3206,34348,9,10,21,44.6515,0,11,21,9,15,3,7,38.0233,61.7666,0.210108,441,23,110,1,6,3,1,1,1,9,5,5,5,9,5,6,5,14,8,9,8,0,1,0,4,1,1,3,19,1,0,1,clean
70,6,4,3,75,14,28,68395,137613,603839,44,3,13,33.2086,0,2,4,3,4,5,12,3.88287,77.5818,18.5353,938,1,329.846,9,18,4,2,4,2,24,14,17,17,25,11,12,25,42,17,12,18,0,0,0,11,0,1,3,68,1,1,1,buggy
42,2,2,2,44,13,25,137059,426641,277801,21,0,0,13.9257,0,2,2,1,1,3,4,0.183914,99.7784,0.037736,720,13,209,11,11,2,4,3,1,14,6,10,12,15,5,6,15,26,11,7,7,0,0,0,9,0,0,0,41,0,0,0,clean
74,4,4,3,83,49,103,8269,16659,362236,37,4,15,37.3204,0,2,6,5,9,7,7,8.79901,75.2551,15.9459,830,6,410.153,10,12,4,3,3,3,23,13,18,21,25,12,11,28,43,18,13,20,0,0,0,13,0,1,2,72,1,1,0,buggy
