@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R1-3,6,8,12-15,17-24,27-31,35-46,49-55,57'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
4,37,0,0,25,0,0,0,2,0,0,0,0,0,1,buggy
6,35,0,0,25,0,0,0,2,0,0,0,0,0,1,buggy
8,47,0,0,25,0,0,0,3,0,0,0,0,0,2,clean
0,24,15,2,4,7,10.2,7,1,1.75,8,8,1.75,7,0,clean
0,7,24,8,3,0,7,38,2,12.666667,38,24,0,-14,0,clean
8,98,129,1.583333,36,36,21.860466,68,4,1.888889,121,57,1,8,0,buggy
5,42,0,0,23,0,0,0,2,0,0,0,0,0,0,buggy
19,103,123,0.244444,90,5,78.325203,21,3,0.233333,112,22,0.055556,11,3,clean
10,333,1903,9.141026,78,159,39.026276,713,3,9.141026,1755,713,2.038461,148,0,clean
0,12,22,4.666667,3,9,6.272727,24,2,8,29,14,3,-7,0,clean
13,84,0,0,34,0,0,0,3,0,0,0,0,0,0,clean
5,99,510,6.823529,34,199,33.468628,170,4,5,329,232,5.852941,181,0,clean
0,153,71,4.888889,9,39,10.408451,36,4,4,45,44,4.333334,26,0,clean
6,98,75,2.529412,17,36,10.493333,13,2,0.764706,37,43,2.117647,38,0,buggy
22,20,780,1.788462,52,89,40.585896,195,3,3.75,645,93,1.711538,135,0,clean
5,135,248,1.406977,86,84,69.161293,46,3,0.534884,173,121,0.976744,75,0,buggy
11,77,272,4.307693,26,100,96.716911,78,5,3,187,112,3.846154,85,0,buggy
18,49,506,1.75,64,108,44.098816,39,3,0.609375,238,112,1.6875,268,1,buggy
4,55,44,0.425926,54,14,70.022728,9,2,0.166667,32,23,0.259259,12,0,buggy
17,98,802,0.958678,121,116,62.913963,57,3,0.471074,320,116,0.958678,482,0,buggy
6,124,0,0,85,0,0,0,3,0,0,0,0,0,0,buggy
1,133,37,0.526316,38,13,82.297295,7,2,0.184211,16,20,0.342105,21,0,buggy
6,123,0,0,30,0,0,0,3,0,0,0,0,0,0,buggy
5,47,0,0,22,0,0,0,2,0,0,0,0,0,0,clean
4,70,661,6.434783,46,177,69.18306,119,2,2.586957,264,296,3.847826,397,0,clean
0,90,0,0,2,0,0,0,1,0,0,0,0,0,0,clean
35,31,3534,5.310484,248,207,83.014435,1302,5,5.25,2548,1317,0.834677,986,0,clean
4,148,199,1.322581,62,53,22.512564,61,3,0.983871,191,82,0.854839,8,0,clean
8,56,426,4.565218,23,37,32.713615,93,3,4.043479,338,105,1.608696,88,1,buggy
4,0,0,0,36,0,0,0,3,0,0,0,0,0,0,clean
5,7,410,2.596154,52,87,11.704878,150,5,2.884615,338,135,1.673077,72,1,buggy
8,72,857,4.829787,47,189,10.770128,150,1,3.19149,419,227,4.021277,438,0,buggy
4,185,192,3.677419,31,88,79.458336,64,5,2.064516,132,114,2.83871,60,0,buggy
0,21,36,3.5,6,6,8.611111,19,1,3.166667,27,21,1,9,0,clean
6,98,285,5.423077,26,111,22.585964,65,4,2.5,138,141,4.269231,147,0,buggy
9,77,0,0,19,0,0,0,2,0,0,0,0,0,0,clean
3,108,225,4.071429,14,49,104.111115,49,2,3.5,143,57,3.5,82,0,clean
19,127,1009,1.142857,161,134,33.327057,242,4,1.503106,582,184,0.832298,427,0,buggy
0,90,3,1,3,3,90,0,1,0,0,3,1,3,0,clean
9,19,242,7.090909,11,77,57.326447,31,2,2.818182,85,78,7,157,0,clean
4,37,0,0,9,0,0,0,4,0,0,0,0,0,0,clean
6,103,0,0,24,0,0,0,3,0,0,0,0,0,1,clean
3,68,121,13.6,5,68,62.363636,4,1,0.8,5,68,13.6,116,0,clean
4,21,39,0.529412,17,8,8.897436,7,1,0.411765,13,9,0.470588,26,0,clean
0,21,172,18.857143,7,130,7.232558,55,1,7.857143,57,132,18.571428,115,0,buggy
2,21,75,5.375,8,9,12.386666,38,1,4.75,87,43,1.125,-12,0,clean
5,21,450,9.470589,17,93,9.584444,179,2,10.529411,374,161,5.470588,76,0,clean
15,41,0,0,81,0,0,0,3,0,0,0,0,0,0,clean
6,34,0,0,47,0,0,0,3,0,0,0,0,0,0,buggy
9,121,0,0,55,0,0,0,3,0,0,0,0,0,0,buggy
11,103,0,0,42,0,0,0,3,0,0,0,0,0,0,clean
11,98,240,2.066667,30,61,54.087502,43,6,1.433333,137,62,2.033333,103,4,clean
39,135,1799,1.036765,136,139,52.2229,221,4,1.625,1916,141,1.022059,-117,15,clean
0,61,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
4,84,0,0,24,0,0,0,3,0,0,0,0,0,2,clean
1,101,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
2,35,0,0,16,0,0,0,2,0,0,0,0,0,0,clean
8,53,171,5.9,10,59,50.099415,59,5,5.9,96,59,5.9,75,1,clean
2,103,0,0,16,0,0,0,2,0,0,0,0,0,0,clean
5,32,64,0.323944,71,22,59.4375,5,2,0.070423,17,23,0.309859,47,0,clean
2,133,24,0.178947,95,7,95.041664,10,1,0.105263,20,17,0.073684,4,1,buggy
2,37,0,0,29,0,0,0,2,0,0,0,0,0,0,clean
36,150,230,0.184466,103,19,74.18261,9,3,0.087379,54,19,0.184466,176,0,buggy
0,133,4,0.166667,12,0,97.5,2,1,0.166667,4,2,0,0,1,clean
3,133,121,2.147059,34,54,43.76033,32,2,0.941177,56,73,1.588235,65,0,clean
2,78,0,0,8,0,0,0,2,0,0,0,0,0,0,clean
3,102,34,3.333333,6,20,96.588234,27,1,4.5,35,20,3.333333,-1,1,buggy
55,72,1087,0.886793,159,46,55.828888,145,5,0.91195,603,141,0.289308,484,5,buggy
0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,clean
