@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
0,44,0,0,5,0,0,0,1,0,0,0,0,0,0,clean
4,87,0,0,15,0,0,0,2,0,0,0,0,0,0,buggy
1,185,4,0.181818,11,0,154.25,2,1,0.181818,4,2,0,0,0,clean
16,48,0,0,56,0,0,0,4,0,0,0,0,0,0,buggy
4,72,25,0.428571,14,5,73.800003,6,2,0.428571,20,6,0.357143,5,1,clean
11,29,154,2.473684,19,31,14.714286,77,2,4.052631,196,47,1.631579,-42,1,buggy
1,175,26,2.333333,6,12,125.53846,2,1,0.333333,4,14,2,22,0,clean
61,77,0,0,169,0,0,0,3,0,0,0,0,0,2,buggy
1,33,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
12,23,0,0,45,0,0,0,2,0,0,0,0,0,0,clean
2,185,31,0.735294,34,16,104.80645,18,3,0.529412,32,25,0.470588,-1,0,clean
1,175,15,1.1,10,8,108,3,1,0.3,7,11,0.8,8,0,clean
3,74,15,0.230769,13,1,72.333336,6,5,0.461538,20,3,0.076923,-5,1,clean
2,178,18,1.625,8,11,70.055557,4,2,0.5,8,13,1.375,10,0,clean
2,46,99,2,22,26,66.050507,64,5,2.909091,84,44,1.181818,15,0,clean
6,47,399,4.933333,30,134,117.684212,79,4,2.633333,232,148,4.466667,167,0,clean
2,185,10,0.173913,23,3,104.699997,3,1,0.130435,7,4,0.130435,3,0,clean
0,236,5,1,5,1,99,4,1,0.8,4,5,0.2,1,0,clean
0,185,0,0,17,0,0,0,0,0,0,0,0,0,0,clean
1,179,36,1.666667,15,24,156.944443,5,2,0.333333,13,25,1.6,23,0,clean
3,278,37,0.225,40,9,110.62162,10,2,0.25,33,9,0.225,4,0,clean
0,84,236,30.6,5,153,37.970341,0,2,0,0,153,30.6,236,0,clean
1,65,6,1.666667,3,4,43,1,1,0.333333,2,5,1.333333,4,0,clean
1,43,4,2,2,1,4,3,2,1.5,3,4,0.5,1,0,clean
5,178,172,4.666667,12,52,70.854652,42,3,3.5,72,56,4.333334,100,0,buggy
14,29,426,6.944445,36,26,22.572769,253,2,7.027778,305,250,0.722222,121,0,buggy
1,33,2,1,2,0,33,7,2,3.5,7,2,0,-5,0,clean
5,36,0,0,10,0,0,0,2,0,0,0,0,0,0,clean
21,23,0,0,72,0,0,0,2,0,0,0,0,0,1,buggy
9,100,774,6.085714,35,213,72.156334,24,2,0.685714,135,213,6.085714,639,0,clean
6,58,0,0,15,0,0,0,2,0,0,0,0,0,0,buggy
1,162,24,0.454545,22,4,154.958328,96,1,4.363637,103,10,0.181818,-79,0,buggy
1,65,6,1.666667,3,4,43,1,1,0.333333,2,5,1.333333,4,0,clean
4,100,24,1.857143,7,9,30.5,13,2,1.857143,16,13,1.285714,8,0,clean
3,219,144,0.640719,167,105,148.125,2,2,0.011976,8,107,0.628743,136,1,buggy
0,44,0,0,4,0,0,0,1,0,0,0,0,0,0,clean
