@relation 'data/final_8020_regression.csv-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R100-weka.filters.unsupervised.attribute.Remove-R115-weka.filters.unsupervised.attribute.Remove-R1-5,17-18,20,26-27,31-37,42,45-46,50-68,71,78-84,93,96-100,102,106,109,113'

@attribute postbugs numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric

@data
0,152,8,1,2,109,14,15,10260120,10219769,12,109,39,111,0.249444,1.26667,2,2,1,1,7,18,20.2559,77.0599,2.68414,2213,5,1,1,75,0,0,1,0,58,11,57,35,64,67,4,26,75,8,24,11,0,1,0,2,1,5,4,149,7,0,0
0,152,8,1,2,109,14,15,1179322,0,0,109,39,111,0.408248,1.5,2,2,1,2,7,18,20.2559,77.0599,2.68414,2213,5,1,1,75,0,0,1,0,58,11,57,35,64,67,4,26,75,8,24,11,0,1,0,2,1,5,4,149,7,0,0
0,3,0,0,0,4,2,7,1439552,1448476,0,1,1,2,0.427383,1.3875,4,2,2,2,4,3,93.5088,2.80702,3.68421,30,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0
0,66,1,3,2,70,13,24,623950,624012,0,30,0,0,1.09532,1.85417,1,2,1,2,0,5,0.143807,99.7555,0.100665,1092,0,44,5,24,1,0,5,0,23,8,19,17,21,18,6,23,34,15,12,15,0,0,0,6,1,1,2,63,2,0,0
0,84,14,7,8,136,14,28,0,451990,818482,68,74,195,0,0,0,0,0,0,54,10,20.6597,74.2256,5.11472,1936,3,182.5,6,0,36,3,2,6,28,11,25,28,28,16,11,36,77,29,21,36,0,1,1,47,2,1,2,86,2,3,1
0,157,27,13,16,260,14,28,0,451990,818482,131,148,390,0,0,0,0,0,0,107,14,0.191665,93.4071,6.4012,3691,6,364,10,0,70,4,4,11,54,19,43,55,52,29,21,69,150,54,38,70,0,1,1,91,3,1,3,160,3,6,1
0,6,0,0,0,13,3,14,0,580033,2920271,2,4,16,0,0,0,0,0,0,5,4,92.7844,4.84093,2.37468,144,0,1,2,0,1,0,1,1,3,1,1,1,2,1,1,2,9,2,1,2,0,0,0,2,0,0,0,6,0,0,0
0,18,0,1,0,36,4,33,0,580033,2920271,7,33,49,0,0,0,0,0,0,13,7,43.9251,21.9463,34.1286,556,2,403.5,21,0,21,0,1,1,11,2,3,4,9,3,2,4,29,2,2,5,0,0,0,24,0,0,1,18,0,0,0
0,31,1,1,1,45,8,20,552109,580033,2920271,19,7,22,3.8714,4.61,2,2,1,2,0,6,0.945677,65.793,33.2614,577,3,510,9,11,2,1,1,1,7,7,10,8,11,6,2,13,24,8,8,9,0,0,0,5,0,0,0,30,0,0,0
0,149,7,7,7,491,17,391,0,0,1598940,17,349,652,1.1547,1.66667,2,2,0,3,87,2,47.2242,52.7758,0,5138,11,48,1,0,216,0,2,4,123,2,4,15,118,7,5,13,490,8,7,15,0,0,0,215,0,1,2,148,1,1,0
0,34,10,11,9,57,7,49,0,31915,0,24,80,202,0,0,0,0,0,0,126,5,69.8923,14.3652,15.7425,844,0,3,1,0,52,1,0,0,25,2,4,4,27,1,1,6,79,1,1,6,0,0,0,53,0,1,3,31,1,0,0
0,10,0,1,0,7,5,18,0,31915,0,2,5,13,0,0,0,0,0,0,3,11,23.7755,73.9489,2.27568,179,0,1,1,0,1,0,1,0,3,3,3,0,4,0,1,4,4,3,1,1,0,0,0,1,0,0,0,10,0,0,0
0,18,0,1,0,8,6,6,10,31,65,9,2,14,10.5104,8.55556,2,3,3,5,1,2,65.4401,34.5484,0.011535,226,0,2,1,7,0,0,0,0,5,1,9,2,4,8,2,4,4,3,1,1,0,0,0,0,0,0,1,16,0,0,0
0,75,10,5,6,107,14,28,1090945,1111431,188054,55,52,136,1.05739,2.71006,3,2,3,2,37,9,4.86321,92.971,2.16579,1579,2,137.333,5,7,23,2,2,4,25,10,22,22,25,14,10,31,59,24,15,29,0,0,0,32,1,1,2,75,2,2,0
0,157,27,13,16,260,14,28,0,0,2143202,131,148,390,0,0,0,0,0,0,107,14,0.191665,93.4071,6.4012,3691,6,364,10,0,70,4,4,11,54,19,43,55,52,29,21,69,150,54,38,70,0,1,1,91,3,1,3,160,3,6,1
0,157,27,13,16,260,14,28,0,0,2143202,131,148,390,0,0,0,0,0,0,107,14,0.191665,93.4071,6.4012,3691,6,364,10,0,70,4,4,11,54,19,43,55,52,29,21,69,150,54,38,70,0,1,1,91,3,1,3,160,3,6,1
0,157,27,13,16,260,14,28,0,0,2143202,131,148,390,0,0,0,0,0,0,107,14,0.191665,93.4071,6.4012,3691,6,364,10,0,70,4,4,11,54,19,43,55,52,29,21,69,150,54,38,70,0,1,1,91,3,1,3,160,3,6,1
