@relation 'data/final_8020_regression.csv-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R100-weka.filters.unsupervised.attribute.Remove-R115-weka.filters.unsupervised.attribute.Remove-R1-3,7-17,19-25,28-30,32-35,37-53,56-60,64-83,85-92,94-108,110-114'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute postbugs numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric

@data
1,48,0,174,5.333334,15,80,59.856323,12,2,0.8,30,80,5.333334,144,0
4,21,0,486,4.047619,21,85,95.528809,41,4,1.952381,106,85,4.047619,380,0
21,11,0,2148,3.140625,64,201,39.232307,201,3,3.140625,1170,201,3.140625,978,0
10,38,0,400,0.757895,95,39,125.095001,53,5,0.557895,388,72,0.410526,12,3
5,66,0,128,12.666667,6,74,33.476563,22,1,3.666667,49,76,12.333333,79,0
9,16,0,1890,6.52459,61,266,108.074074,150,5,2.459016,1043,398,4.360656,847,3
3,18,0,0,0,4,0,0,0,1,0,0,0,0,0,0
13,138,0,258,0.777778,45,35,127.724808,54,5,1.2,294,35,0.777778,-36,2
9,60,0,212,10.538462,13,108,53.75,29,2,2.230769,61,137,8.307693,151,3
3,36,0,226,5.9375,16,95,33.0177,32,2,2,82,95,5.9375,144,0
8,19,2,115,2.529412,17,36,85.130432,13,2,0.764706,39,43,2.117647,76,0
12,56,1,791,1.55814,86,84,64.759796,109,5,1.267442,510,134,0.976744,281,0
12,5,0,0,0,25,0,0,0,3,0,0,0,0,0,0
5,63,0,0,0,6,0,0,0,2,0,0,0,0,0,0
7,23,1,91,0.462963,54,24,99.56044,9,2,0.166667,50,25,0.444444,41,0
26,19,11,1070,0.958678,121,116,112.980377,57,5,0.471074,458,116,0.958678,612,0
8,85,0,0,0,23,0,0,0,4,0,0,0,0,0,0
26,45,0,0,0,85,0,0,0,5,0,0,0,0,0,1
6,83,0,74,3.6,10,12,53.891891,75,3,7.5,99,36,1.2,-25,0
10,45,0,0,0,20,0,0,0,2,0,0,0,0,0,0
5,212,0,81,1.92,25,17,162.197525,31,3,1.24,60,48,0.68,21,0
0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0
2,24,0,1,0.25,4,0,32,1,1,0.25,1,1,0,0,0
5,56,0,8,0.666667,6,0,42.75,5,2,0.833333,9,4,0,-1,0
9,22,0,1248,11.142858,35,93,148.605774,416,4,11.885715,954,390,2.657143,294,1
5,56,0,91,6.666667,6,39,44.406593,62,2,10.333333,75,40,6.5,16,0
5,16,0,1348,12.705882,34,428,124.103119,773,3,22.735294,1551,432,12.588235,-203,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,62,0,27,1.888889,9,16,14.111111,1,2,0.111111,7,17,1.777778,20,0
1,82,0,26,5.75,4,22,33.73077,2,2,0.5,4,23,5.5,22,0
6,75,0,111,6.3,10,50,48.882881,13,2,1.3,31,63,5,80,3
0,140,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3,33,0,869,37.272728,11,410,31.812428,22,2,2,59,410,37.272728,810,0
7,20,0,280,2.296296,27,34,124.275002,48,4,1.777778,193,62,1.259259,87,0
