@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,12,14,0,19,0,1,12,12,1,0,25,5,14,0,45,19,0,19,12,6,20,0,1,1,1,12,76,1,1,3,0.42,3,12,33,12,1,1,84,12,1,20,clean
1,8,21,0,20,0,9,2,3,3,0,25,2,22,1,52,16,1,21,8,0,14,1,3,3,1,3,55,3,3,13,0.31,12,3,41,3,1,2,81,9,2,31,clean
1,26,44,0,72,2,10,18,20,2,0,33,1,51,0,153,11,1,75,26,0,29,0,2,2,1,20,82,3,1,6,0.07,6,20,116,20,1,1,192,28,1,89,clean
2,6,9,0.93,18,3,9,1,4,3,0,30,0,11,0.47,41,18,1,22,6,0,11,0,4,3,1,4,50,4,1,10.47,0.44,10,4,27,4,2,1,66,7,1,19,clean
1,39,77,0,81,1,7,34,35,4,0,48,2,79,0,197,16,0,78,39,0,42,0,2,4,1,35,48,4,1,5,0.08,5,35,158,35,1,1,249,39,1,118,buggy
1,5,16,0,14,0,6,2,2,3,0,24,1,17,2,39,17,1,16,5,0,12,0,3,3,1,2,25,5,3,16,0.44,14,2,30,2,1,2,66,7,2,24,clean
1,7,23,0,13,1,6,2,3,3,0,25,2,27,1,52,18,1,17,7,0,13,0,3,3,1,5,33,3,2,13,0.35,12,3,36,3,1,2,82,8,2,28,clean
4,12,13,0,43,1,6,9,10,3,0,55,1,13,0,77,46,0,48,12,2,44,0,5,3,1,12,8.33,3,1,2.73,0.6,2.73,10,56,10,4,1,148,13,1,40,clean
1,13,24,0,45,0,18,6,6,5,0,75,1,25,0,88,19,3,49,13,0,16,0,2,5,1,8,79,6,2,10,0.22,9,6,69,6,1,2,121,15,2,55,clean
9,16,33,0,58,0,28,10,11,3,1,98,2,44,0.41,120,16,0,58,16,0,23,0,7,3,1,11,14,3,1,9.8,0.13,9.39,10,91,11,5,1,159,17,1,72,clean
1,10,81,0,69,2,28,7,9,2,0,35,2,86,2,173,69,0,76,10,0,43,0,4,2,1,9,44,2,1,18,0.4,15,9,150,9,1,1,285,11,1,140,clean
1,1,21,2,13,0,16,1,1,1,0,14,0,21,1,36,15,0,13,1,0,6,0,1,1,1,1,0,1,1,27,0.42,24,0,34,1,1,1,57,1,1,32,buggy
1,26,39,0,51,1,15,2,6,7,0,19,0,57,0,138,21,1,54,26,0,13,3,2,7,1,10,83,10,5,19,0.15,18,6,90,6,1,4,170,34,4,60,clean
1,25,33,0,49,0,16,8,8,8,0,28,0,37,0,121,19,0,58,25,0,14,0,2,8,1,8,0,8,3,11,0.16,10,8,82,8,1,3,152,27,3,55,clean
5,21,46,0,33,0,22,5,6,9,0,54,6,56,0,112,17,0,34,25,0,16,1,4,13,1,6,15,14,4,13.52,0.15,13.52,6,79,6,3,3,145,28,4,57,clean
1,10,11,0,17,1,5,5,6,2,0,19,1,12,0,43,17,0,20,10,0,12,0,2,2,1,6,50,2,1,5,0.4,5,6,28,6,1,1,72,10,1,17,clean
1,7,9,0,12,1,3,0,1,7,0,25,0,9,0,28,14,0,12,7,0,5,0,2,7,1,1,0,7,7,18,0.5,18,1,21,1,1,7,47,7,7,12,clean
1,9,13,0,15,0,5,5,5,5,0,18,0,15,0,38,28,1,15,9,0,10,0,1,5,1,9,100,6,2,5,0.74,5,0,28,5,1,1,75,10,1,18,clean
11,31,94,0,75,6,18,10,20,4,0,85,3,109,0.51,217,16,0,74,31,0,36,4,6,4,1,20,14.2,4,1,8.06,0.07,7.55,20,169,20,5,1,267,33,1,135,clean
1,9,32,1,30,2,14,3,5,3,0,31,3,32,1,71,18,0,29,9,0,22,0,4,3,1,5,40,3,1,13,0.25,10,5,62,5,1,1,111,9,1,49,clean
1,2,3,0,6,0,2,1,1,2,0,28,0,3,0,11,13,0,6,2,0,5,0,2,2,1,2,0,2,1,12,1.18,12,0,9,1,1,1,29,2,1,7,clean
2,16,37,0,46,0,1,9,9,4,0,22,1,41,0,104,20,0,47,16,0,35,0,1,4,1,12,77,4,1,3,0.19,2,9,83,12,2,1,159,16,1,66,clean
3,10,22,0.53,28,0,5,2,4,5,0,30,0,27,0.53,68,25,5,28,10,0,16,2,2,5,1,4,26.5,6,3,9.4,0.37,8.87,1,50,4,2,2,106,12,2,39,clean
2,2,0,0,4,0,1,2,2,1,0,15,0,0,0,7,14,0,4,2,3,5,0,1,1,1,2,0,1,1,2,2,2,2,4,2,1,1,26,2,1,1,clean
12,77,122,0,102,1,47,31,35,8,1,113,6,143,0,301,67,5,80,77,0,54,2,6,8,1,52,14.67,9,2,5.76,0.22,5.07,34,224,35,6,2,413,82,2,130,buggy
23,73,141,0.56,164,0,57,27,39,6,0,195,15,171,0.41,410,58,5,164,73,0,80,12,13,6,1,50,11.75,7,2,9.09,0.14,7.87,37,305,39,12,1,539,78,1,235,clean
2,4,12,3,15,0,4,4,4,1,0,17,0,12,1,33,27,0,16,4,0,13,0,1,1,1,4,0,1,1,9,0.82,5,3,27,4,1,1,69,4,1,22,clean
1,56,88,0,84,0,18,12,17,9,1,46,0,97,0,245,23,2,95,56,0,26,4,2,9,2,48,85,9,3,12,0.09,12,17,172,17,1,3,292,57,3,114,clean
1,12,14,0,23,3,6,2,5,5,0,18,1,14,0,51,17,0,24,12,0,11,0,2,5,1,7,60,5,2,7,0.33,6,5,37,5,1,2,79,12,2,21,clean
7,73,121,0,82,0,15,32,36,7,1,88,16,128,0,283,85,0,81,73,0,57,3,4,7,1,52,29,10,2,7.38,0.3,7.38,36,203,37,5,1,422,78,1,124,clean
1,10,17,0,22,0,3,4,4,5,0,17,0,20,0,52,19,1,22,10,0,11,0,1,5,2,9,50,5,2,10,0.37,9,4,39,4,1,2,80,11,2,28,clean
2,18,102,0,60,4,11,10,18,1,4,154,0,108,0.41,199,23,0,65,18,0,51,0,7,1,1,18,0,1,1,5.45,0.12,4.18,18,162,18,2,1,268,18,1,136,clean
1,9,19,1,30,0,5,3,3,5,0,23,0,22,0,65,21,3,33,9,0,12,0,2,5,2,8,55,6,4,15,0.32,14,3,49,3,1,3,92,12,3,39,clean
3,6,5,0.44,16,0,3,6,6,1,0,32,0,5,0,31,24,3,18,6,0,15,0,3,1,1,6,43,1,1,3,0.77,2.56,4,21,6,2,1,67,6,1,13,clean
4,16,24,0.27,34,5,16,5,13,2,0,111,1,28,0,87,35,0,41,16,0,19,3,5,2,1,13,23.33,2,1,5.29,0.4,4.28,11,58,13,3,1,138,17,1,40,buggy
7,90,160,0,132,0,47,38,45,10,1,131,18,187,0,431,35,3,150,99,0,87,6,7,13,1,61,61.2,15,2,7.97,0.08,7.85,44,292,45,5,2,548,111,2,191,buggy
1,2,2,0,9,1,6,0,1,2,0,24,0,2,0,14,13,0,10,2,0,5,0,3,2,1,1,0,2,2,5,0.93,5,1,11,1,1,2,32,2,2,8,clean
1,16,26,0,31,1,10,6,8,8,1,21,1,32,0,77,22,4,33,16,0,19,0,2,8,1,14,82,8,2,6,0.29,6,6,57,8,1,2,114,16,2,40,clean
