@relation 'data/final_8020_etc.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
2,55,187,1.545455,44,68,63.278076,12,2,0.272727,47,68,1.545455,140,0,clean
12,36,1613,1.094595,148,88,59.354618,158,4,1.067568,1393,162,0.594595,220,3,clean
30,48,1988,3.397516,161,134,69.560867,774,6,4.807454,1462,547,0.832298,526,0,clean
6,38,518,4.03125,32,128,44.660233,28,3,0.875,115,129,4,403,1,clean
0,321,1,0.090909,11,0,178,1,1,0.090909,1,1,0,0,0,clean
2,83,12,0.4,10,0,93.166664,10,3,1,24,4,0,-12,0,clean
5,1,49,0.118182,110,12,101.448982,17,1,0.154545,49,13,0.109091,0,0,clean
2,434,46,1.238095,21,3,30.652174,23,4,1.095238,46,26,0.142857,0,0,clean
2,204,44,0.40678,59,8,154.77272,20,2,0.338983,32,24,0.135593,12,0,clean
0,79,18,9,2,18,36,0,2,0,0,18,9,18,0,clean
1,321,70,5.230769,13,0,143.357147,106,3,8.153846,108,68,0,-38,0,clean
26,86,1882,6.662651,83,545,113.822533,409,6,4.927711,1150,553,6.566265,732,0,clean
1,321,3,0.142857,7,0,129,2,3,0.285714,4,1,0,-1,0,clean
2,321,5,0.25,8,1,125,1,3,0.125,4,2,0.125,1,0,clean
10,19,179,1.555556,45,10,131.189941,84,4,1.866667,125,70,0.222222,54,2,clean
2,224,36,2,9,17,161.333328,9,4,1,13,18,1.888889,23,0,clean
4,228,151,12.666667,9,34,167.609268,106,3,11.777778,137,114,3.777778,14,0,clean
0,79,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
4,143,10,1.25,4,0,75.099998,6,2,1.5,11,5,0,-1,0,clean
5,84,13,1.2,5,2,68,4,1,0.8,9,6,0.4,4,2,clean
6,84,35,2.5,8,17,71.885712,3,1,0.375,14,20,2.125,21,0,clean
0,126,90,12.166667,6,52,107.077774,21,1,3.5,36,73,8.666667,54,0,clean
4,129,103,7,7,48,128.097092,2,3,0.285714,5,49,6.857143,98,0,clean
0,115,293,60.5,4,49,107.232079,237,1,59.25,239,242,12.25,54,0,clean
1,73,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,270,0,0,15,0,0,0,0,0,0,0,0,0,0,clean
3,18,89,1.0625,32,1,60.337078,45,2,1.40625,144,34,0.03125,-55,0,clean
0,270,0,0,15,0,0,0,0,0,0,0,0,0,0,clean
2,368,37,1.928572,14,3,27.432432,25,1,1.785714,34,27,0.214286,3,0,clean
13,177,290,2.066667,30,61,120.913796,43,6,1.433333,173,62,2.033333,117,4,clean
56,56,4390,14.382353,136,139,93.228928,1957,4,14.389706,4182,1956,1.022059,208,15,clean
9,294,179,0.559322,59,28,130.407822,39,3,0.661017,135,33,0.474576,44,1,clean
5,201,136,2.166667,24,18,109.88971,88,4,3.666667,134,52,0.75,2,5,clean
25,65,702,0.369697,330,72,117.405983,86,5,0.260606,485,122,0.218182,217,0,clean
8,132,171,5.9,10,59,128.719299,59,5,5.9,96,59,5.9,75,1,clean
6,170,340,2.928572,42,65,140.817642,97,5,2.309524,306,123,1.547619,34,2,clean
11,51,36,0.611111,18,4,34.444443,7,4,0.388889,15,11,0.222222,21,0,clean
