@relation 'data/final_8020_etc.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,18,50,2,53,4,4,9,14,2,0,27,1,50,0,120,98,5,53,18,0,29,1,2,2,1,14,89,2,1,8,0.82,6,14,103,14,1,1,224,18,1,84,clean
2,12,18,0,17,0,1,8,8,5,0,21,3,18,0,44,52,0,17,12,0,13,0,1,5,1,12,54,6,1,4,1.18,4,8,35,8,1,1,109,13,1,22,clean
1,16,38,1,46,3,3,9,13,2,0,26,1,38,0,99,81,6,46,16,0,23,1,2,2,1,13,90,2,1,7,0.82,5,13,84,13,1,1,185,16,1,67,clean
1,19,43,1,45,3,3,8,13,3,0,26,0,49,0,111,52,3,44,19,0,17,2,2,3,1,15,84,4,1,7,0.47,6,13,88,13,1,1,158,21,1,69,clean
1,31,76,3,53,4,6,11,17,6,0,30,2,80,0,156,81,0,52,31,0,32,2,2,6,1,21,82,6,1,9,0.52,8,17,129,17,1,1,221,32,1,98,clean
10,36,49,0.27,69,2,6,16,26,3,0,91,6,47,0,147,89,12,69,36,0,37,8,5,3,1,28,17.6,3,1,3.76,0.61,3.01,26,118,26,5,1,261,36,1,77,clean
1,24,82,3,65,4,5,10,15,6,0,28,1,91,1,174,111,7,65,24,0,47,1,2,6,1,15,85,6,1,11,0.64,9,15,147,15,1,1,274,24,1,122,clean
6,17,33,0.84,35,0,8,9,11,3,0,50,4,34,0.42,83,66,2,34,17,0,28,2,4,3,1,13,23.33,3,1,8.4,0.8,6.72,10,68,11,3,1,175,17,1,50,clean
2,19,46,0,28,2,7,9,11,2,0,39,3,57,0,110,113,1,35,27,0,23,0,4,4,1,11,77,6,2,8,1.03,7,11,74,11,1,1,245,29,2,54,clean
3,54,110,2,80,3,10,18,22,9,0,35,11,106,1,231,175,1,82,54,0,53,1,2,9,1,22,83,17,3,11,0.76,8,22,190,22,1,2,457,71,2,135,clean
1,11,15,0,27,4,5,7,11,1,0,24,1,15,0,56,95,1,29,11,0,25,0,2,1,1,11,86,1,1,4,1.7,3,10,42,11,1,1,174,11,1,30,clean
1,5,4,0,16,1,3,3,4,2,0,17,0,5,0,27,11,0,16,5,0,7,0,2,2,1,4,0,2,1,4,0.41,4,4,20,4,1,1,45,5,1,14,clean
8,237,228,0,174,0,8,4,4,21,0,56,0,257,0,516,99,0,160,247,0,56,0,4,22,1,151,0,22,2,8,0.19,8,4,402,43,9,2,662,255,2,294,clean
2,5,10,0,15,2,3,3,5,1,0,53,0,11,1,35,42,1,18,5,1,20,0,3,1,1,5,80,1,1,6,1.2,4,5,25,5,1,1,96,5,1,19,clean
8,72,181,0,75,5,11,11,23,23,0,88,3,191,0.3,329,19,0,66,72,0,51,7,6,23,1,27,14.8,23,3,12.63,0.06,12.03,19,256,23,5,3,399,74,3,185,clean
13,27,57,0,59,1,12,24,25,3,0,126,5,79,0,163,28,0,56,27,0,44,0,9,3,1,25,6,3,1,4.89,0.17,4.56,24,116,25,7,1,234,27,1,88,clean
2,9,17,0,24,1,10,6,7,3,0,20,4,19,0,52,10,0,24,9,0,12,0,2,3,1,7,78,3,1,5,0.19,5,7,41,7,1,1,73,9,1,32,clean
3,23,65,0,56,0,13,13,13,4,0,39,7,70,0,147,75,3,56,23,0,28,0,4,4,1,13,35,5,2,9.08,0.51,7.85,13,121,13,2,1,248,26,1,96,clean
